# Generated by probes/course-lab.
# search search of ../../assets/maps/cleave.map for goal finish (0x00000002); reported 0 ms, checksum 0x440663031df16b10
# Replay it with `straf3 --replay <this file> --map ../../assets/maps/cleave.map`; the
# final checksum must equal the one course-lab printed beside it.

rate 125
profile cpm
world map
spawn -320.0 -736.0 24.125
yaw 0.0

# cmd <repeat> <fwd> <right> <up> <buttons> <pitch> <yaw> <roll>
cmd 1 127 0 0 - 0.0 87.47864 0.0
cmd 1 127 0 0 - 0.0 89.97803 0.0
cmd 1 127 0 0 - 0.0 92.47742 0.0
cmd 1 127 0 0 - 0.0 94.97681 0.0
cmd 1 127 0 0 - 0.0 97.4762 0.0
cmd 1 127 0 0 - 0.0 99.975586 0.0
cmd 1 127 0 0 - 0.0 102.474976 0.0
cmd 1 127 0 0 - 0.0 104.974365 0.0
cmd 1 127 0 0 - 0.0 107.473755 0.0
cmd 1 127 0 0 - 0.0 109.973145 0.0
cmd 1 127 0 0 - 0.0 112.472534 0.0
cmd 1 127 0 0 - 0.0 114.971924 0.0
cmd 1 127 0 0 - 0.0 117.47131 0.0
cmd 1 127 0 0 - 0.0 119.9707 0.0
cmd 1 127 -127 0 - 0.0 118.97095 0.0
cmd 1 127 -127 0 - 0.0 117.97119 0.0
cmd 1 127 -127 0 - 0.0 116.971436 0.0
cmd 1 127 -127 0 - 0.0 115.97168 0.0
cmd 1 127 -127 0 - 0.0 114.971924 0.0
cmd 1 127 -127 0 - 0.0 113.97217 0.0
cmd 1 127 -127 0 - 0.0 112.97241 0.0
cmd 33 127 -127 0 - 0.0 111.97266 0.0
cmd 8 0 -127 0 - 0.0 111.97266 0.0
cmd 1 0 -127 0 - 0.0 112.97241 0.0
cmd 1 0 -127 0 - 0.0 113.97217 0.0
cmd 1 0 -127 0 - 0.0 114.971924 0.0
cmd 1 0 -127 0 - 0.0 115.97168 0.0
cmd 1 0 -127 0 - 0.0 116.971436 0.0
cmd 1 0 -127 0 - 0.0 117.97119 0.0
cmd 1 0 -127 0 - 0.0 118.97095 0.0
cmd 1 0 -127 0 - 0.0 119.9707 0.0
cmd 1 127 0 0 - 0.0 122.47009 0.0
cmd 1 127 0 0 - 0.0 124.96948 0.0
cmd 1 127 0 0 - 0.0 127.46887 0.0
cmd 1 127 0 0 - 0.0 129.96826 0.0
cmd 1 127 0 0 - 0.0 132.46765 0.0
cmd 1 127 0 0 - 0.0 134.96704 0.0
cmd 1 127 0 0 - 0.0 137.46643 0.0
cmd 1 127 0 0 - 0.0 139.96582 0.0
cmd 1 0 -127 0 - 0.0 140.96558 0.0
cmd 1 0 -127 0 - 0.0 141.96533 0.0
cmd 1 0 -127 0 - 0.0 142.96509 0.0
cmd 1 0 -127 0 - 0.0 143.96484 0.0
cmd 1 0 -127 0 - 0.0 144.9646 0.0
cmd 1 0 -127 0 jump 0.0 145.96436 0.0
cmd 1 0 -127 0 - 0.0 146.96411 0.0
cmd 1 0 -127 0 - 0.0 147.96387 0.0
cmd 1 0 -127 0 - 0.0 148.96362 0.0
cmd 1 0 -127 0 - 0.0 149.96338 0.0
cmd 1 0 -127 0 - 0.0 150.96313 0.0
cmd 1 0 -127 0 - 0.0 151.96289 0.0
cmd 1 0 -127 0 - 0.0 152.96265 0.0
cmd 1 0 -127 0 - 0.0 153.9624 0.0
cmd 1 0 -127 0 - 0.0 154.96216 0.0
cmd 1 0 -127 0 - 0.0 155.96191 0.0
cmd 1 0 -127 0 - 0.0 156.96167 0.0
cmd 1 0 -127 0 - 0.0 157.96143 0.0
cmd 1 0 -127 0 - 0.0 158.96118 0.0
cmd 1 0 -127 0 - 0.0 159.96094 0.0
cmd 1 0 -127 0 - 0.0 160.9607 0.0
cmd 1 0 -127 0 - 0.0 161.96045 0.0
cmd 1 0 -127 0 - 0.0 162.9602 0.0
cmd 1 0 -127 0 - 0.0 163.95996 0.0
cmd 1 127 0 0 - 0.0 170.95825 0.0
cmd 1 127 0 0 - 0.0 177.95654 0.0
cmd 1 127 0 0 - 0.0 184.95483 0.0
cmd 1 127 0 0 - 0.0 191.95313 0.0
cmd 1 127 0 0 - 0.0 198.95142 0.0
cmd 1 127 0 0 - 0.0 205.9497 0.0
cmd 1 127 0 0 - 0.0 212.948 0.0
cmd 1 127 0 0 - 0.0 219.94629 0.0
cmd 1 0 -127 0 - 0.0 212.948 0.0
cmd 1 0 -127 0 - 0.0 205.9497 0.0
cmd 1 0 -127 0 - 0.0 198.95142 0.0
cmd 1 0 -127 0 - 0.0 191.95313 0.0
cmd 1 0 -127 0 - 0.0 184.95483 0.0
cmd 1 0 -127 0 - 0.0 177.95654 0.0
cmd 1 0 -127 0 - 0.0 170.95825 0.0
cmd 1 0 -127 0 - 0.0 163.95996 0.0
cmd 1 127 127 0 - 0.0 164.95972 0.0
cmd 1 127 127 0 - 0.0 165.95947 0.0
cmd 1 127 127 0 - 0.0 166.95923 0.0
cmd 1 127 127 0 - 0.0 167.95898 0.0
cmd 1 127 127 0 - 0.0 168.95874 0.0
cmd 1 127 127 0 - 0.0 169.9585 0.0
cmd 1 127 127 0 - 0.0 170.95825 0.0
cmd 1 127 127 0 - 0.0 171.95801 0.0
cmd 1 127 127 0 - 0.0 172.95776 0.0
cmd 1 127 127 0 - 0.0 173.95752 0.0
cmd 1 127 127 0 - 0.0 174.95728 0.0
cmd 1 127 127 0 - 0.0 175.95703 0.0
cmd 1 127 127 0 - 0.0 176.95679 0.0
cmd 1 127 127 0 - 0.0 177.95654 0.0
cmd 1 127 127 0 - 0.0 178.9563 0.0
cmd 1 127 127 0 - 0.0 179.95605 0.0
cmd 1 0 -127 0 - 0.0 175.95703 0.0
cmd 1 0 -127 0 - 0.0 171.95801 0.0
cmd 1 0 -127 0 - 0.0 167.95898 0.0
cmd 1 0 -127 0 - 0.0 163.95996 0.0
cmd 1 0 -127 0 - 0.0 159.96094 0.0
cmd 1 0 -127 0 - 0.0 155.96191 0.0
cmd 1 0 -127 0 - 0.0 151.96289 0.0
cmd 1 0 -127 0 - 0.0 147.96387 0.0
cmd 1 127 -127 0 - 0.0 148.96362 0.0
cmd 1 127 -127 0 - 0.0 149.96338 0.0
cmd 1 127 -127 0 - 0.0 150.96313 0.0
cmd 1 127 -127 0 - 0.0 151.96289 0.0
cmd 1 127 -127 0 - 0.0 152.96265 0.0
cmd 1 127 -127 0 - 0.0 153.9624 0.0
cmd 1 127 -127 0 - 0.0 154.96216 0.0
